date,symbol,action,shares,price,cost,position_size,confidence,stop_loss,regime,revenue,pnl,return_pct,holding_days,reason,drawdown
2024-07-26,AMZN,SELL,9,182.5,,,0.791308251968935,,HIGH,1640.8575,13.387500000000045,0.8225958082176658,2.0,Model sell signal,
2024-08-05,AMZN,BUY,10,161.02,1611.8102,0.11810806884026123,0.7722004917161517,148.13840000000002,HIGH,,,,,,
2024-08-15,AMZN,SELL,10,177.59,,,0.7722004917161517,,HIGH,1774.1241,163.92409999999995,10.180356477456213,10.0,Model sell signal,
2024-08-26,AMZN,BUY,10,175.5,1756.7549999999999,0.1214919845184245,0.7963713179887464,161.46,HIGH,,,,,,
2024-09-20,AMZN,SELL,10,191.6,,,0.7963713179887464,,MEDIUM,1914.084,159.08400000000006,9.064615384615388,25.0,Model sell signal,
2024-10-04,AMZN,BUY,10,186.51,1866.9650999999997,0.1334421367867405,0.8817295484767179,171.5892,MEDIUM,,,,,,
2024-11-08,AMZN,SELL,10,208.18,,,0.8817295484767179,,HIGH,2079.7182000000003,214.61820000000034,11.507061283577306,35.0,Model sell signal,
2024-11-21,AMZN,BUY,10,198.38,1985.7837999999997,0.13149259580061815,0.867804255718701,182.5096,HIGH,,,,,,
2024-12-11,AMZN,SELL,10,230.26,,,0.867804255718701,,MEDIUM,2300.2974,316.49739999999997,15.954098195382599,20.0,Model sell signal,
2024-12-12,AMZN,BUY,8,228.97,1833.5917599999998,0.12179799893586005,0.7985571352561432,210.6524,MEDIUM,,,,,,
2024-12-16,AMZN,SELL,8,232.93,,,0.7985571352561432,,MEDIUM,1861.57656,29.81655999999998,1.627754727693583,4.0,Model sell signal,
2024-12-27,AMZN,BUY,9,223.75,2015.7637499999998,0.1322775139745862,0.8734108141041872,205.85000000000002,HIGH,,,,,,
2025-01-29,AMZN,SELL,9,237.07,,,0.8734108141041872,,MEDIUM,2131.4963700000003,117.7463700000003,5.84711955307264,33.0,Model sell signal,
2025-03-04,AMZN,BUY,9,203.8,1836.0341999999998,0.12629947457303772,0.8307105326645552,187.496,HIGH,,,,,,
2025-03-10,AMZN,SELL,9,194.54,,,0.8307105326645552,,HIGH,1749.1091399999998,-85.09086000000025,-4.6391265947007,6.0,Model sell signal,
2025-03-17,AMZN,BUY,10,195.74,1959.3573999999999,0.1345500550499234,0.8896432503565957,180.0808,HIGH,,,,,,
2025-03-21,AMZN,SELL,10,196.21,,,0.8896432503565957,,HIGH,1960.1379000000002,2.7379000000000815,0.13987432308164308,4.0,Model sell signal,
2025-03-31,AMZN,BUY,10,190.26,1904.5025999999998,0.12810122790780493,0.8435801993414637,175.0392,HIGH,,,,,,
2025-04-04,AMZN,STOP_LOSS,10,171.0,,,,,HIGH,1708.29,-194.30999999999995,-10.212866603595078,,Stop-loss triggered at 8.0%,-10.122989593188263
2025-04-08,AMZN,BUY,11,170.66,1879.1372599999997,0.1255552948144286,0.8253949629602043,157.0072,HIGH,,,,,,
2025-04-25,AMZN,SELL,11,188.99,,,0.8253949629602043,,HIGH,2076.81111,199.5511100000001,10.629913277862423,17.0,Model sell signal,
2025-05-05,AMZN,BUY,9,186.35,1678.8271499999996,0.11508276953246704,0.7505912109461932,171.442,HIGH,,,,,,
2025-05-08,AMZN,SELL,9,192.08,,,0.7505912109461932,,HIGH,1726.99128,49.8412800000001,2.971784276898316,3.0,Model sell signal,
2025-05-20,AMZN,BUY,10,204.07,2042.7406999999996,0.1351422572680033,0.8938732662000236,187.7444,HIGH,,,,,,
2025-06-27,AMZN,SELL,10,223.3,,,0.8938732662000236,,HIGH,2230.767,190.067,9.313813887391582,38.0,Model sell signal,
2025-08-04,AMZN,BUY,9,211.65,1906.75485,0.13286847759070158,0.8776319827907255,194.71800000000002,HIGH,,,,,,
2025-09-05,AMZN,SELL,9,232.33,,,0.8776319827907255,,HIGH,2088.87903,184.02902999999992,9.661077250177176,32.0,Model sell signal,
2023-01-03,MSFT,BUY,8,239.58,1918.5566399999998,0.13433063257209732,0.8880759469435522,220.41360000000003,MEDIUM,,,,,,
2023-02-09,MSFT,SELL,8,263.62,,,0.8880759469435522,,HIGH,2106.85104,190.2110399999999,9.924192336589027,37.0,Model sell signal,
2023-02-24,MSFT,BUY,8,249.22,1995.7537599999998,0.13151090564106888,0.8679350402933492,229.2824,HIGH,,,,,,
2023-03-17,MSFT,SELL,8,279.43,,,0.8679350402933492,,HIGH,2233.20456,239.44456000000014,12.009698258566734,21.0,Model sell signal,
2023-03-20,MSFT,BUY,7,272.23,1907.51561,0.12565883056298272,0.8261345040213052,250.45160000000004,HIGH,,,,,,
2023-03-23,MSFT,SELL,7,277.66,,,0.8261345040213052,,HIGH,1941.67638,36.06637999999998,1.8926422510377243,3.0,Model sell signal,
2023-03-27,MSFT,BUY,8,276.38,2213.2510399999996,0.14021318485066686,0.9300941775047633,254.2696,HIGH,,,,,,
2023-03-29,MSFT,SELL,8,280.51,,,0.9300941775047633,,HIGH,2241.83592,30.795920000000024,1.3928250958824817,2.0,Model sell signal,
2023-03-30,MSFT,BUY,6,284.05,1706.0043,0.11963249129599869,0.7830892235428478,261.326,MEDIUM,,,,,,
2023-04-04,MSFT,SELL,6,287.18,,,0.7830892235428478,,MEDIUM,1721.35692,17.056919999999764,1.0008167576130824,5.0,Model sell signal,
2023-04-05,MSFT,BUY,7,284.34,1992.3703799999996,0.1229680077245049,0.8069143408893208,261.5928,MEDIUM,,,,,,
2023-04-06,MSFT,SELL,7,291.6,,,0.8069143408893208,,MEDIUM,2039.1588000000004,48.7788000000005,2.450728001688145,1.0,Model sell signal,
2023-04-11,MSFT,BUY,8,282.83,2264.90264,0.13855783886999273,0.9182702776428053,260.2036,MEDIUM,,,,,,
2023-05-05,MSFT,SELL,8,310.65,,,0.9182702776428053,,HIGH,2482.7147999999997,220.07479999999987,9.72646112505745,24.0,Model sell signal,
2023-05-08,MSFT,BUY,7,308.65,2162.7105499999993,0.1344010099844877,0.8885786427463407,283.95799999999997,HIGH,,,,,,
2023-05-25,MSFT,SELL,7,325.92,,,0.8885786427463407,,MEDIUM,2279.15856,118.60856000000013,5.48973918678115,17.0,Model sell signal,
2023-06-07,MSFT,BUY,6,323.38,1942.2202799999998,0.13333781665698052,0.8809844046927181,297.50960000000003,HIGH,,,,,,
2023-06-15,MSFT,SELL,6,348.1,,,0.8809844046927181,,HIGH,2086.5114000000003,146.23140000000035,7.5366132723112305,8.0,Model sell signal,
2023-06-28,MSFT,BUY,6,335.85,2017.1151,0.11869962399991159,0.7764258857136542,308.982,HIGH,,,,,,
2023-06-30,MSFT,SELL,6,340.54,,,0.7764258857136542,,MEDIUM,2041.1967600000003,26.09676000000013,1.2950602947744594,2.0,Model sell signal,
2023-07-10,MSFT,BUY,6,331.83,1992.9709799999998,0.1178537901596994,0.7703842154264243,305.2836,MEDIUM,,,,,,
